Id,SalePrice
1461,123411.84655827878
1462,168129.99791222502
1463,183967.13941582007
1464,195662.17967639258
1465,201752.64620616753
1466,168690.5433391376
1467,174712.988100785
1468,158585.31806964352
1469,186905.88407923092
1470,114982.38955475879
1471,190003.93657750374
1472,95996.35044411334
1473,95109.09563105536
1474,143668.46160938306
1475,106205.32237121431
1476,351465.055368846
1477,261495.80711847064
1478,292152.512279376
1479,288272.29811128357
1480,495126.5811496063
1481,327449.4383397224
1482,211827.47061423791
1483,181505.00088920802
1484,160692.3096521337
1485,193360.2092386576
1486,193169.21820891023
1487,337621.8214631137
1488,224993.02521819223
1489,194850.6519130088
1490,250367.94258595142
1491,197905.15451769013
1492,92985.90936341355
1493,164845.85088752487
1494,315954.3255992302
1495,293479.2739902947
1496,235329.6850678999
1497,179538.8170788052
1498,193887.1159823068
1499,158487.77946539686
1500,154818.4072175332
1501,177835.75914044518
1502,141851.53466083042
1503,300283.1357475058
1504,237502.95621852434
1505,226893.10279889396
1506,189860.01986926282
1507,251510.09333407824
1508,200582.22946696842
1509,159540.78204383134
1510,144717.77941605824
1511,175376.73761614287
1512,176383.49101936005
1513,141501.12018181622
1514,158029.03644316015
1515,190358.9972972061
1516,152607.35283183682
1517,168974.75759293887
1518,130184.50160342424
1519,210345.3201904737
1520,125838.60469326562
1521,135436.1597229268
1522,182214.47270747455
1523,110122.26606580269
1524,127299.60874507864
1525,121147.48099303708
1526,110403.50728627686
1527,104831.95080973327
1528,134129.8348871452
1529,158340.91329095242
1530,179167.51869106563
1531,100360.17706098603
1532,94421.78934320384
1533,166422.43535094082
1534,129774.89388293805
1535,146897.04299648196
1536,103428.45651011071
1537,59956.00314639856
1538,141519.78002125584
1539,206137.9209184209
1540,99417.10791155368
1541,139821.7031923967
1542,156373.87011484595
1543,189069.54160605042
1544,87652.06159079594
1545,114325.22478113568
1546,140780.83896145414
1547,137363.25747538076
1548,141887.00469090615
1549,123718.04008456477
1550,132985.104952147
1551,104999.9031491913
1552,137592.2312230479
1553,146818.40439690158
1554,114441.59452258775
1555,170003.53939791207
1556,82116.62180798367
1557,114837.94172980795
1558,106473.28910258535
1559,53073.17425982586
1560,133931.29270823151
1561,125563.18195864533
1562,131205.30488549516
1563,118754.69234531563
1564,158494.61959911193
1565,148000.3417218757
1566,233576.58912018666
1567,76327.65099951313
1568,238565.56321634157
1569,138653.32382977163
1570,131781.23307022097
1571,119688.46616594223
1572,143394.32108514718
1573,223987.3708708783
1574,119385.1590777326
1575,217181.70692788516
1576,241127.48825131284
1577,177083.19356225894
1578,139080.8707174836
1579,150605.90037333017
1580,193087.87421757507
1581,157593.57081228067
1582,122205.69709554057
1583,311335.62769613334
